

 ************************** Static Model - Solar Cycle **************************
                           F10.7 = 100.00 Fbar = 100.00

  Alt MMolMs LogDsty ExTemp LcTemp NMolHe NMolO2 NMolN2 NMolAr NMmolO  NMolH
 1700   1.70 -15.688 860.48 860.44 10.224 -7.797 -3.856-15.226  4.578 10.749
 1710   1.68 -15.698 860.48 860.44 10.209 -7.915 -3.960-15.374  4.519 10.746
 1720   1.67 -15.707 860.48 860.44 10.194 -8.033 -4.064-15.521  4.460 10.742
 1730   1.66 -15.717 860.48 860.44 10.179 -8.151 -4.167-15.668  4.401 10.738
 1740   1.64 -15.726 860.48 860.44 10.165 -8.269 -4.270-15.815  4.342 10.734
 1750   1.63 -15.735 860.48 860.44 10.150 -8.386 -4.372-15.961  4.284 10.731
 1760   1.62 -15.745 860.48 860.44 10.135 -8.503 -4.475-16.107  4.225 10.727
 1770   1.61 -15.754 860.48 860.44 10.121 -8.620 -4.577-16.253  4.167 10.723
 1780   1.59 -15.763 860.48 860.44 10.106 -8.736 -4.679-16.398  4.109 10.720
 1790   1.58 -15.772 860.48 860.45 10.092 -8.852 -4.780-16.543  4.050 10.716
 1800   1.57 -15.781 860.48 860.45 10.077 -8.968 -4.882-16.688  3.993 10.712
 1810   1.56 -15.789 860.48 860.45 10.063 -9.083 -4.983-16.832  3.935 10.709
 1820   1.55 -15.798 860.48 860.45 10.048 -9.199 -5.084-16.976  3.877 10.705
 1830   1.54 -15.807 860.48 860.45 10.034 -9.314 -5.185-17.120  3.820 10.701
 1840   1.53 -15.815 860.48 860.45 10.020 -9.428 -5.285-17.263  3.762 10.698
 1850   1.52 -15.824 860.48 860.45 10.005 -9.543 -5.385-17.406  3.705 10.694
 1860   1.51 -15.832 860.48 860.45  9.991 -9.657 -5.485-17.548  3.648 10.691
 1870   1.50 -15.840 860.48 860.45  9.977 -9.771 -5.585-17.690  3.591 10.687
 1880   1.49 -15.849 860.48 860.45  9.962 -9.884 -5.684-17.832  3.534 10.683
 1890   1.48 -15.857 860.48 860.45  9.948 -9.998 -5.783-17.974  3.478 10.680
 1900   1.47 -15.865 860.48 860.45  9.934-10.111 -5.882-18.115  3.421 10.676
 1910   1.46 -15.873 860.48 860.45  9.920-10.224 -5.981-18.256  3.365 10.673
 1920   1.45 -15.880 860.48 860.45  9.906-10.336 -6.080-18.396  3.308 10.669
 1930   1.44 -15.888 860.48 860.45  9.892-10.448 -6.178-18.536  3.252 10.666
 1940   1.43 -15.896 860.48 860.45  9.878-10.560 -6.276-18.676  3.196 10.662
 1950   1.42 -15.904 860.48 860.45  9.864-10.672 -6.374-18.815  3.141 10.659
 1960   1.41 -15.911 860.48 860.45  9.850-10.783 -6.471-18.954  3.085 10.655
 1970   1.41 -15.919 860.48 860.45  9.836-10.895 -6.569-19.093  3.029 10.652
 1980   1.40 -15.926 860.48 860.45  9.822-11.005 -6.666-19.232  2.974 10.648
 1990   1.39 -15.933 860.48 860.45  9.808-11.116 -6.762-19.370  2.918 10.645
 2000   1.38 -15.940 860.48 860.45  9.795-11.226 -6.859-19.507  2.863 10.641
