 ******************************** Static Profile ********************************
                             Exospheric Temperature

  alt           500K           700K          1000K          1500K          2400K
 (km) mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
 1390   1.01 -14.615   1.40 -15.515   3.71 -15.131   4.75 -14.451  12.24 -13.167
 1400   1.01 -14.622   1.39 -15.526   3.70 -15.144   4.71 -14.466  12.14 -13.189
 1410   1.01 -14.629   1.37 -15.536   3.69 -15.158   4.67 -14.481  12.03 -13.210
 1420   1.01 -14.636   1.36 -15.546   3.68 -15.171   4.63 -14.495  11.93 -13.231
 1430   1.01 -14.643   1.35 -15.556   3.68 -15.185   4.59 -14.509  11.82 -13.252
 1440   1.01 -14.650   1.34 -15.566   3.67 -15.198   4.55 -14.523  11.71 -13.272
 1450   1.01 -14.657   1.33 -15.576   3.66 -15.211   4.52 -14.536  11.60 -13.293
 1460   1.01 -14.664   1.32 -15.585   3.65 -15.225   4.49 -14.549  11.49 -13.313
 1470   1.01 -14.671   1.31 -15.595   3.65 -15.238   4.46 -14.562  11.38 -13.334
 1480   1.01 -14.677   1.31 -15.604   3.64 -15.251   4.43 -14.575  11.26 -13.354
 1490   1.01 -14.684   1.30 -15.613   3.63 -15.264   4.41 -14.587  11.15 -13.374
 1500   1.01 -14.691   1.29 -15.622   3.62 -15.278   4.38 -14.600  11.04 -13.394
 1510   1.01 -14.698   1.28 -15.631   3.61 -15.291   4.36 -14.612  10.92 -13.414
 1520   1.01 -14.705   1.27 -15.640   3.61 -15.304   4.34 -14.624  10.81 -13.434
 1530   1.01 -14.711   1.26 -15.649   3.60 -15.317   4.32 -14.635  10.70 -13.453
 1540   1.01 -14.718   1.26 -15.657   3.59 -15.330   4.30 -14.647  10.58 -13.472
 1550   1.01 -14.725   1.25 -15.666   3.58 -15.342   4.28 -14.658  10.47 -13.492
 1560   1.01 -14.731   1.24 -15.674   3.57 -15.355   4.26 -14.669  10.35 -13.511
 1570   1.01 -14.738   1.23 -15.682   3.57 -15.368   4.25 -14.680  10.24 -13.530
 1580   1.01 -14.745   1.23 -15.690   3.56 -15.381   4.23 -14.691  10.13 -13.549
 1590   1.01 -14.751   1.22 -15.698   3.55 -15.394   4.22 -14.702  10.01 -13.567
 1600   1.01 -14.758   1.22 -15.706   3.54 -15.406   4.20 -14.712   9.90 -13.586
 1610   1.01 -14.765   1.21 -15.714   3.53 -15.419   4.19 -14.723   9.78 -13.604
 1620   1.01 -14.771   1.20 -15.722   3.52 -15.432   4.18 -14.733   9.67 -13.622
 1630   1.01 -14.778   1.20 -15.730   3.51 -15.444   4.17 -14.743   9.56 -13.641
 1640   1.01 -14.784   1.19 -15.737   3.50 -15.457   4.16 -14.753   9.45 -13.659
 1650   1.01 -14.791   1.19 -15.745   3.49 -15.469   4.15 -14.763   9.34 -13.676
 1660   1.01 -14.798   1.18 -15.752   3.48 -15.482   4.14 -14.773   9.23 -13.694
 1670   1.01 -14.804   1.18 -15.759   3.47 -15.494   4.13 -14.783   9.12 -13.711
 1680   1.01 -14.811   1.17 -15.767   3.46 -15.506   4.12 -14.793   9.01 -13.729
 1690   1.01 -14.817   1.17 -15.774   3.45 -15.519   4.11 -14.803   8.90 -13.746
 1700   1.01 -14.823   1.16 -15.781   3.44 -15.531   4.10 -14.812   8.79 -13.763
 1710   1.01 -14.830   1.16 -15.788   3.43 -15.543   4.10 -14.822   8.69 -13.780
 1720   1.01 -14.836   1.15 -15.795   3.42 -15.555   4.09 -14.831   8.58 -13.796
 1730   1.01 -14.843   1.15 -15.801   3.41 -15.567   4.08 -14.840   8.48 -13.813
 1740   1.01 -14.849   1.14 -15.808   3.40 -15.580   4.08 -14.849   8.38 -13.829
 1750   1.01 -14.855   1.14 -15.815   3.39 -15.592   4.07 -14.859   8.28 -13.845
 1760   1.01 -14.862   1.14 -15.821   3.38 -15.604   4.07 -14.868   8.18 -13.861
 1770   1.01 -14.868   1.13 -15.828   3.37 -15.616   4.06 -14.877   8.08 -13.877
 1780   1.01 -14.874   1.13 -15.834   3.36 -15.628   4.06 -14.886   7.98 -13.893
 1790   1.01 -14.881   1.13 -15.841   3.35 -15.639   4.05 -14.895   7.89 -13.909
 1800   1.01 -14.887   1.12 -15.847   3.34 -15.651   4.05 -14.904   7.80 -13.924
 1810   1.01 -14.893   1.12 -15.853   3.33 -15.663   4.04 -14.912   7.70 -13.939
 1820   1.01 -14.900   1.12 -15.860   3.32 -15.675   4.04 -14.921   7.61 -13.954
 1830   1.01 -14.906   1.11 -15.866   3.30 -15.687   4.04 -14.930   7.52 -13.969
 1840   1.01 -14.912   1.11 -15.872   3.29 -15.698   4.03 -14.939   7.44 -13.984
 1850   1.01 -14.918   1.11 -15.878   3.28 -15.710   4.03 -14.947   7.35 -13.998
 1860   1.01 -14.924   1.10 -15.884   3.27 -15.722   4.03 -14.956   7.26 -14.013
 1870   1.01 -14.931   1.10 -15.890   3.26 -15.733   4.02 -14.964   7.18 -14.027
 1880   1.01 -14.937   1.10 -15.896   3.25 -15.745   4.02 -14.973   7.10 -14.041
 1890   1.01 -14.943   1.10 -15.901   3.23 -15.756   4.02 -14.981   7.02 -14.055
 1900   1.01 -14.949   1.09 -15.907   3.22 -15.768   4.01 -14.990   6.94 -14.069
 1910   1.01 -14.955   1.09 -15.913   3.21 -15.779   4.01 -14.998   6.86 -14.082
 1920   1.01 -14.961   1.09 -15.918   3.20 -15.790   4.01 -15.006   6.79 -14.096
 1930   1.01 -14.967   1.09 -15.924   3.19 -15.802   4.01 -15.015   6.71 -14.109
 1940   1.01 -14.973   1.08 -15.930   3.17 -15.813   4.01 -15.023   6.64 -14.122
 1950   1.01 -14.980   1.08 -15.935   3.16 -15.824   4.00 -15.031   6.57 -14.135
 1960   1.01 -14.986   1.08 -15.941   3.15 -15.835   4.00 -15.039   6.50 -14.148
 1970   1.01 -14.992   1.08 -15.946   3.14 -15.846   4.00 -15.048   6.44 -14.160
 1980   1.01 -14.998   1.08 -15.951   3.12 -15.857   4.00 -15.056   6.37 -14.173
 1990   1.01 -15.004   1.07 -15.957   3.11 -15.869   4.00 -15.064   6.30 -14.185
 2000   1.01 -15.010   1.07 -15.962   3.10 -15.880   3.99 -15.072   6.24 -14.197
